key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 7.777999999999999, right, 1, 1.0120000000000005, 1, 0, 80, 46, 1, 79, company, 7, right, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 2.2830000000000013, 1, 0, 80, 64, 1, 79, political, 9, right, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.7999999999999972, 1, 0, 80, 20, 1, 79, their, 5, right, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.468, 1, 0, 80, 8, 1, 79, out, 3, right, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.3829999999999991, 1, 0, 80, 2, 1, 79, and, 3, right, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6829999999999998, 1, 0, 80, 55, 1, 79, quesdion, 8, left, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5329999999999941, 1, 0, 80, 70, 1, 79, everything, 10, right, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.5670000000000002, 1, 0, 80, 33, 1, 79, becone, 6, left, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.766999999999996, 1, 0, 80, 9, 1, 79, ous, 3, left, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.600999999999999, 1, 0, 80, 49, 1, 79, beliefe, 7, left, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.950000000000003, 1, 0, 80, 75, 1, 79, especialty, 10, left, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.0180000000000007, 1, 0, 80, 41, 1, 79, pregram, 7, left, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7999999999999972, 1, 0, 80, 77, 1, 79, tochnology, 10, left, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5670000000000002, 1, 0, 80, 27, 1, 79, whicb, 5, left, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.766999999999996, 1, 0, 80, 25, 1, 79, thenk, 5, left, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5829999999999984, 1, 0, 80, 35, 1, 79, fector, 6, left, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.5159999999999982, 1, 0, 80, 5, 1, 79, neu, 3, left, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.4329999999999998, 1, 0, 80, 31, 1, 79, shoule, 6, left, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.6010000000000062, 1, 0, 80, 58, 1, 79, research, 8, right, Rick, 001, 2020-05-14_17h44.05.922, lexical_decision_task, 3.0.0b12, 60
