key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 5.5280000000000005, right, 0, 1.166999999999998, 1, 0, 80, 33, 1, 79, becone, 6, left, 1, 001, 2023-06-13_11h21.06.179, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 1.2989999999999995, 1, 0, 80, 24, 1, 79, think, 5, right, 1, 001, 2023-06-13_11h21.06.179, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.6159999999999997, 1, 0, 80, 5, 1, 79, neu, 3, left, 1, 001, 2023-06-13_11h21.06.179, lexical_decision_task, 3.0.0b12, 60
