key_resp_1.keys, key_resp_1.rt, response.keys, response.corr, response.rt, trials.thisRepN, trials.thisTrialN, trials.thisN, trials.thisIndex, trials.ran, trials.order, words, number_of_letters, corrAns, participant, session, date, expName, psychopyVersion, frameRate
space, 1.8239999999999998, right, 1, 4.382, 1, 0, 80, 10, 1, 79, want, 4, right, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.048, 1, 0, 80, 79, 1, 79, bopulation, 10, left, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 0, 1.6660000000000021, 1, 0, 80, 29, 1, 79, courd, 5, left, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.801000000000002, 1, 0, 80, 50, 1, 79, business, 8, right, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.213000000000001, 1, 0, 80, 35, 1, 79, fector, 6, left, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.5159999999999982, 1, 0, 80, 15, 1, 79, ptay, 4, left, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.9349999999999987, 1, 0, 80, 25, 1, 79, thenk, 5, left, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 0, 1.8290000000000006, 1, 0, 80, 12, 1, 79, much, 4, right, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6660000000000004, 1, 0, 80, 69, 1, 79, incluting, 9, left, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5650000000000013, 1, 0, 80, 18, 1, 79, line, 4, right, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.7159999999999975, 1, 0, 80, 13, 1, 79, mech, 4, left, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.6659999999999968, 1, 0, 80, 45, 1, 79, bedween, 7, left, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.9329999999999998, 1, 0, 80, 52, 1, 79, remember, 8, right, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 1.698999999999998, 1, 0, 80, 23, 1, 79, aboot, 5, left, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, left, 1, 2.149000000000001, 1, 0, 80, 43, 1, 79, countey, 7, left, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5990000000000038, 1, 0, 80, 24, 1, 79, think, 5, right, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.698999999999998, 1, 0, 80, 8, 1, 79, out, 3, right, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.5519999999999996, 1, 0, 80, 36, 1, 79, decade, 6, right, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
undefined, undefined, right, 1, 1.695999999999998, 1, 0, 80, 28, 1, 79, could, 5, right, 1, 001, 2022-02-22_22h31.25.069, lexical_decision_task, 3.0.0b12, 60
